"","Murder","Assault","Rape","hiUrbanFactor","murderCat"
"Alabama",13.2,236,21.2,"Lo.Urban","Hi"
"Alaska",10,263,44.5,"Lo.Urban","Mid"
"Arizona",8.1,294,31,"Hi.Urban","Mid"
"Arkansas",8.8,190,19.5,"Lo.Urban","Mid"
"California",9,276,40.6,"Hi.Urban","Mid"
"Colorado",7.9,204,38.7,"Hi.Urban","Mid"
"Connecticut",3.3,110,11.1,"Hi.Urban","Low"
"Delaware",5.9,238,15.8,"Hi.Urban","Mid"
"Florida",15.4,335,31.9,"Hi.Urban","Hi"
"Georgia",17.4,211,25.8,"Lo.Urban","Hi"
"Hawaii",5.3,46,20.2,"Hi.Urban","Mid"
"Idaho",2.6,120,14.2,"Lo.Urban","Low"
"Illinois",10.4,249,24,"Hi.Urban","Mid"
"Indiana",7.2,113,21,"Lo.Urban","Mid"
"Iowa",2.2,56,11.3,"Lo.Urban","Low"
"Kansas",6,115,18,"Hi.Urban","Mid"
"Kentucky",9.7,109,16.3,"Lo.Urban","Mid"
"Louisiana",15.4,249,22.2,"Hi.Urban","Hi"
"Maine",2.1,83,7.8,"Lo.Urban","Low"
"Maryland",11.3,300,27.8,"Hi.Urban","Hi"
"Massachusetts",4.4,149,16.3,"Hi.Urban","Mid"
"Michigan",12.1,255,35.1,"Hi.Urban","Hi"
"Minnesota",2.7,72,14.9,"Hi.Urban","Low"
"Mississippi",16.1,259,17.1,"Lo.Urban","Hi"
"Missouri",9,178,28.2,"Hi.Urban","Mid"
"Montana",6,109,16.4,"Lo.Urban","Mid"
"Nebraska",4.3,102,16.5,"Lo.Urban","Mid"
"Nevada",12.2,252,46,"Hi.Urban","Hi"
"New Hampshire",2.1,57,9.5,"Lo.Urban","Low"
"New Jersey",7.4,159,18.8,"Hi.Urban","Mid"
"New Mexico",11.4,285,32.1,"Hi.Urban","Hi"
"New York",11.1,254,26.1,"Hi.Urban","Mid"
"North Carolina",13,337,16.1,"Lo.Urban","Hi"
"North Dakota",0.8,45,7.3,"Lo.Urban","Low"
"Ohio",7.3,120,21.4,"Hi.Urban","Mid"
"Oklahoma",6.6,151,20,"Hi.Urban","Mid"
"Oregon",4.9,159,29.3,"Hi.Urban","Mid"
"Pennsylvania",6.3,106,14.9,"Hi.Urban","Mid"
"Rhode Island",3.4,174,8.3,"Hi.Urban","Low"
"South Carolina",14.4,279,22.5,"Lo.Urban","Hi"
"South Dakota",3.8,86,12.8,"Lo.Urban","Low"
"Tennessee",13.2,188,26.9,"Lo.Urban","Hi"
"Texas",12.7,201,25.5,"Hi.Urban","Hi"
"Utah",3.2,120,22.9,"Hi.Urban","Low"
"Vermont",2.2,48,11.2,"Lo.Urban","Low"
"Virginia",8.5,156,20.7,"Lo.Urban","Mid"
"Washington",4,145,26.2,"Hi.Urban","Low"
"West Virginia",5.7,81,9.3,"Lo.Urban","Mid"
"Wisconsin",2.6,53,10.8,"Hi.Urban","Low"
"Wyoming",6.8,161,15.6,"Lo.Urban","Mid"
